CUI,SAB_x,SAB_y,STR,DEF
C0008677,HPO,DXP,"BRONCHITIS, CHRONIC",Chronic inflammation of the bronchi. [HPO:probinson]
C0008677,NCI,DXP,"BRONCHITIS, CHRONIC","A type of chronic obstructive pulmonary disease characterized by chronic inflammation in the bronchial tree that results in edema, mucus production, obstruction, and reduced airflow to and from the lung alveoli. The most common cause is tobacco smoking. Signs and symptoms include coughing with excessive mucus production, and shortness of breath."
C0008680,NCI,DXP,CHRONIC EOSINOPHILIC PNEUMONIA,"Chronic inflammatory disorder of the lungs characterized by the presence of eosinophils in the interalveolar septa and alveolar spaces and peripheral blood eosinophilia. Chest x-rays reveal peripheral infiltrates. Approximately half of the patients have history of asthma or atopic disease. Signs and symptoms include fever, dyspnea, cough, and weight loss. Following treatment with corticosteroids, the eosinophilic infiltrates in the lungs disappear, resulting in dramatic clinical improvement."
C0008728,MSH,AIR,Churg-Strauss syndrome,Widespread necrotizing angiitis with granulomas. Pulmonary involvement is frequent. Asthma or other respiratory infection may precede evidence of vasculitis. Eosinophilia and lung involvement differentiate this disease from POLYARTERITIS NODOSA.
C0008728,NCI,AIR,Churg-Strauss syndrome,An autoimmune necrotizing vasculitis with the formation of granulomas. It is a pulmonary and systemic vasculitis associated with eosinophilia.
C0008728,ORPHANET,AIR,Churg-Strauss syndrome,"A rare systemic vasculitis of small vessels characterized by asthma, blood and tissue eosinophilia and vasculitis manifestations."
C0008728,MSH,DXP,ALLERGIC GRANULOMATOSIS OF CHURG-STRAUSS,Widespread necrotizing angiitis with granulomas. Pulmonary involvement is frequent. Asthma or other respiratory infection may precede evidence of vasculitis. Eosinophilia and lung involvement differentiate this disease from POLYARTERITIS NODOSA.
C0008728,NCI,DXP,ALLERGIC GRANULOMATOSIS OF CHURG-STRAUSS,An autoimmune necrotizing vasculitis with the formation of granulomas. It is a pulmonary and systemic vasculitis associated with eosinophilia.
C0008728,ORPHANET,DXP,ALLERGIC GRANULOMATOSIS OF CHURG-STRAUSS,"A rare systemic vasculitis of small vessels characterized by asthma, blood and tissue eosinophilia and vasculitis manifestations."
C0008775,MSH,DXP,CIGUATERA POISONING,"Poisoning caused by ingestion of SEAFOOD containing microgram levels of CIGUATOXINS. The poisoning is characterized by gastrointestinal, neurological and cardiovascular disturbances."
C0009021,MSH,DXP,CLONORCHIASIS,"Infection of the biliary passages with CLONORCHIS SINENSIS, also called Opisthorchis sinensis. It may lead to inflammation of the biliary tract, proliferation of biliary epithelium, progressive portal fibrosis, and sometimes bile duct carcinoma. Extension to the liver may lead to fatty changes and cirrhosis. (From Dorland, 27th ed)"
C0009088,MSH,DXP,CLUSTER HEADACHE,"A primary headache disorder that is characterized by severe, strictly unilateral PAIN which is orbital, supraorbital, temporal or in any combination of these sites, lasting 15-180 min. occurring 1 to 8 times a day. The attacks are associated with one or more of the following, all of which are ipsilateral: conjunctival injection, lacrimation, nasal congestion, rhinorrhea, facial SWEATING, eyelid EDEMA, and miosis. (International Classification of Headache Disorders, 2nd ed. Cephalalgia 2004: suppl 1)"
C0009088,NCI,DXP,CLUSTER HEADACHE,"A headache disorder that is characterized by periodic severe, unilateral orbital, supraorbital, and/or temporal pain, and is associated with ipsilateral cranial autonomic symptoms."
C0009088,HPO,DXP,CLUSTER HEADACHE,"A type of headache characterized by repeated attacks of unilateral pain lasting 15 to 180 minutes and associated with local autonomic signs. [HPO:probinson, PMID:21912573]"
C0009176,ORPHANET,DXP,COCAINE INTOXICATION,"A rare disorder due to poisoning characterized by variable combination and dose-dependent severity of clinical manifestations, affecting behavior, central nervous and cardiovascular system. Patients present with euphoria, irritability, agitation, psychosis, hallucinations, paranoia, seizures, decreased responsiveness, mydriasis, tachyarrhythmia, chest pain, and cardiovascular collapse. Sometimes also dyspnea, hypertension, hyperthermia, hypothermia, lack of sleep and serotonin syndrome are present. Severe intoxication may lead to coma and death."
C0009186,MSH,DXP,COCCIDIOIDOMYCOSIS,"Infection with a fungus of the genus COCCIDIOIDES, endemic to the SOUTHWESTERN UNITED STATES. It is sometimes called valley fever but should not be confused with RIFT VALLEY FEVER. Infection is caused by inhalation of airborne, fungal particles known as arthroconidia, a form of FUNGAL SPORES. A primary form is an acute, benign, self-limited respiratory infection. A secondary form is a virulent, severe, chronic, progressive granulomatous disease with systemic involvement. It can be detected by use of COCCIDIOIDIN."
C0009186,CSP,DXP,COCCIDIOIDOMYCOSIS,"infection with a fungus of the genus Coccidioides, species C. immitis; primary form is an acute, benign, self limited respiratory infection due to inhalation of spores and varying in severity; secondary form is a virulent, severe, chronic, progressive granulomatous disease with systemic involvement."
C0009186,NCI,DXP,COCCIDIOIDOMYCOSIS,"A fungal infection caused by Coccidioides immitis. Affected individuals usually have mild flu-like symptoms. However, pneumonia and systemic involvement with the formation of abscesses may develop as complications of the disease."
C0009186,MEDLINEPLUS,DXP,COCCIDIOIDOMYCOSIS,"<p>Valley Fever is a disease caused by a fungus (or mold) called Coccidioides. The fungi live in the soil of dry areas like the southwestern U.S. You get it from inhaling the spores of the fungus. The infection cannot spread from person to person.</p> <p>Anyone can get Valley Fever. But it's most common among older adults, especially those 60 and older. People who have recently moved to an area where it occurs are at highest risk for infection. Other people at higher risk include:</p><ul> <li>Workers in jobs that expose them to soil dust. These include construction workers, agricultural workers, and military forces doing field training.</li> <li>African Americans and Asians</li> <li>Women in their third trimester of pregnancy</li> <li>People with weak immune systems</li> </ul> <p>Valley Fever is often mild, with no symptoms. If you have symptoms, they may include a flu-like illness, with fever, cough, headache, rash, and muscle aches. Most people get better within several weeks or months. A small number of people may develop a chronic lung or widespread infection.</p> <p>Valley Fever is diagnosed by testing your blood, other body fluids, or tissues. Many people with the acute infection get better without treatment. In some cases, doctors may prescribe antifungal drugs for acute infections. Severe infections require antifungal drugs.</p> <p class="""">Centers for Disease Control and Prevention</p>"
C0009186,HPO,DXP,COCCIDIOIDOMYCOSIS,"Infection by a Coccidioides species fungus. These are dimorphic, soil-dwelling, fungi known to cause a broad spectrum of disease, ranging from a mild febrile illness to severe pulmonary manifestations or disseminated disease. The genus Coccidioides is comprised of two genetically distinct species: Coccidioides immitis and C. posadasii. [PMID:23843703]"
C0009186,ORPHANET,DXP,COCCIDIOIDOMYCOSIS,"Coccidioidomycosis is a fungal infection caused by &lt;i&gt;Coccidioides immitis&lt;/i&gt; and &lt;i&gt;C. posadasii&lt;/i&gt;, which is endemic to the Southwestern United States, Central America, South America and Mexico, and is acquired by inhalation of the infective arthroconidia, often found in soil. In most cases it is a benign, self-limiting febrile illness, but in a minority of cases it can become a potentially lethal infection of the lungs and, extremely rarely, spread to other organs (through hematogenous dissemination) with manifestations including meningitis, osteomyelitis, and skin and soft-tissue involvement."
C0009187,MSH,DXP,COCCIDIOSIS,Protozoan infection found in animals and man. It is caused by several different genera of COCCIDIA.
C0009187,NCI,DXP,COCCIDIOSIS,"A parasitic infection caused by Coccidia. It affects livestock, birds and humans. In humans the parasite infests the intestinal tract and may cause watery diarrhea, abdominal pain, fever, nausea and vomiting."
C0009324,MSH,DXP,"COLITIS, ULCERATIVE","Inflammation of the COLON that is predominantly confined to the MUCOSA. Its major symptoms include DIARRHEA, rectal BLEEDING, the passage of MUCUS, and ABDOMINAL PAIN."
C0009324,CSP,DXP,"COLITIS, ULCERATIVE","chronic, recurrent ulceration of the colon mucosa and submucosa."
C0009324,MEDLINEPLUS,DXP,"COLITIS, ULCERATIVE","<p>Ulcerative colitis (UC) is a disease that causes inflammation and sores, called ulcers, in the lining of the rectum and colon. It is one of a group of diseases called inflammatory bowel disease.</p> <p>UC can happen at any age, but it usually starts between the ages of 15 and 30. It tends to run in families. The most common symptoms are pain in the abdomen and blood or pus in diarrhea. Other symptoms may include:</p><ul> <li>Anemia</li> <li>Severe tiredness</li> <li>Weight loss</li> <li>Loss of appetite</li> <li>Bleeding from the rectum</li> <li>Sores on the skin</li> <li>Joint pain</li> <li>Growth failure in children</li> </ul> <p>About half of people with UC have mild symptoms.</p> <p>Doctors use blood tests, stool tests, colonoscopy or sigmoidoscopy, and imaging tests to diagnose UC. Several types of drugs can help control it. Some people have long periods of remission, when they are free of symptoms. In severe cases, doctors must remove the colon.</p> <p class="""">NIH: National Institute of Diabetes and Digestive and Kidney Diseases</p>"
C0009324,HPO,DXP,"COLITIS, ULCERATIVE","A chronic inflammatory bowel disease that includes characteristic ulcers, or open sores, in the colon. The main symptom of active disease is usually constant diarrhea mixed with blood, of gradual onset and intermittent periods of exacerbated symptoms contrasting with periods that are relatively symptom-free. In contrast to Crohn's disease this special form of colitis begins in the distal parts of the rectum, spreads continually upwards and affects only mucose and submucose tissue of the colon. [HPO:sdoelken]"
C0009324,NCI,DXP,"COLITIS, ULCERATIVE","An inflammatory bowel disease involving the mucosal surface of the large intestine and rectum. It may present with an acute or slow onset and follows an intermittent or continuous course. Signs and symptoms include abdominal pain, diarrhea, fever, weight loss, and intestinal hemorrhage."
C0009400,MSH,DXP,COLORADO TICK FEVER,"A febrile illness characterized by chills, aches, vomiting, leukopenia, and sometimes encephalitis. It is caused by the COLORADO TICK FEVER VIRUS, a reovirus transmitted by the tick Dermacentor andersoni."
C0009400,ORPHANET,DXP,COLORADO TICK FEVER,"An acute arboviral infection caused by a &lt;i&gt;Coltivirus&lt;/i&gt; transmitted by an infected tick and characterized by a biphasic fever with headache, myalgias, arthralgias, and fatigue that can last 3 weeks or more. In some cases, macular, maculopapular, or petechial rash and/or stiff neck, nausea, vomiting, abdominal pain, diarrhea, and sore throat may also occur."
C0009443,MSH,DXP,COMMON COLD,"A catarrhal disorder of the upper respiratory tract, which may be viral or a mixed infection. It generally involves a runny nose, nasal congestion, and sneezing."
C0009443,CSP,DXP,COMMON COLD,"catarrhal disorder of the upper respiratory tract, which may be viral or a mixed infection; marked by acute coryza, slight rise in temperature, chilly sensations, and general indisposition."
C0009443,NCI,DXP,COMMON COLD,"An inflammatory process affecting the nasal mucosa, usually caused by viruses (e.g., rhinovirus, adenovirus, parainfluenza virus, and coronavirus). It is characterized by chills, headaches, mucopurulent nasal discharge, coughing, and facial pain."
C0009443,MEDLINEPLUS,DXP,COMMON COLD,"<p>Sneezing, <a href=""https://medlineplus.gov/sorethroat.html"">sore throat</a>, a stuffy nose, coughing - everyone knows the symptoms of the common cold. It is probably the most common illness. In the course of a year, people in the United States suffer 1 billion colds.</p> <p>You can get a cold by touching your eyes or nose after you touch surfaces with cold germs on them. You can also inhale the germs. Symptoms usually begin 2 or 3 days after infection and last 2 to 14 days. Washing your hands and staying away from people with colds will help you avoid colds. </p> <p>There is no cure for the common cold. But there are treatments that can make you feel better while you wait for the cold to go away on its own:</p> <ul> <li>Getting plenty of rest </li> <li>Drinking fluids</li> <li>Gargling with warm salt water </li> <li>Using cough drops or throat sprays</li> <li>Taking over-the-counter pain or <a href=""https://medlineplus.gov/coldandcoughmedicines.html"">cold medicines</a></li> </ul> <p>However, do not give aspirin to children. And do not give cough medicine to children under four.</p>"
C0009443,NCI,DXP,COMMON COLD,"An acute inflammatory process that affects the nasopharynx. It is caused by viruses. Signs and symptoms include fever, coughing, sneezing, and sore throat."
C0009447,MSH,DXP,COMMON VARIABLE IMMUNODEFICIENCY,"Heterogeneous group of immunodeficiency syndromes characterized by hypogammaglobulinemia of most isotypes, variable B-cell defects, and the presence of recurrent bacterial infections."
C0009447,ORPHANET,DXP,COMMON VARIABLE IMMUNODEFICIENCY,"Common variable immunodeficiency (CVID) comprises a heterogeneous group of diseases characterized by a significant hypogammaglobulinemia of unknown cause, failure to produce specific antibodies after immunizations and susceptibility to bacterial infections, predominantly caused by encapsulated bacteria."
C0009451,HPO,DXP,"HYDROCEPHALUS, COMMUNICATING","A form of hydrocephalus in which there is no visible obstruction to the flow of the cerebrospinal fluid between the ventricles and subarachnoid space. [eMedicine:1135286, HPO:probinson]"
C0009451,NCI,DXP,"HYDROCEPHALUS, COMMUNICATING",An abnormal accumulation of cerebrospinal fluid within the ventricles of the brain that occurs as a consequence of impaired cerebrospinal fluid reabsorption by the arachnoid granulations.
C0009663,MSH,DXP,CONDYLOMA ACUMINATUM,Sexually transmitted form of anogenital warty growth caused by the human papillomaviruses.
C0009663,CSP,DXP,CONDYLOMA ACUMINATUM,"small, pointed papilloma of viral origin, usually occurring on the skin or mucous surface of the external genitalia or perianal region."
C0009663,MEDLINEPLUS,DXP,CONDYLOMA ACUMINATUM,"<p>Genital warts are a <a href=""https://medlineplus.gov/sexuallytransmitteddiseases.html"">sexually transmitted disease</a> (STD) caused by the <a href=""https://medlineplus.gov/hpv.html"">human papillomavirus</a> (HPV). The warts usually appear as a small bump or group of bumps in the genital area. They are flesh-colored and can be flat or look bumpy like cauliflower. Some genital warts are so small you cannot see them. In women, the warts usually occur in or around the vagina, on the cervix, or around the anus. In men, genital warts are less common. They may have warts on the tip of the penis, around the anus, or on the scrotum, thigh, or groin.</p> <p>You can get genital warts during oral, vaginal, or anal sex with an infected partner. Correct usage of latex condoms greatly reduces, but does not completely eliminate, the risk of catching or spreading HPV. If your or your partner is <a href=""https://medlineplus.gov/latexallergy.html"">allergic to latex</a>, you can use polyurethane condoms. The most reliable way to avoid infection is to not have anal, vaginal, or oral sex. HPV vaccines may help prevent some of the HPV infections that cause genital warts.</p> <p>Your health care provider usually diagnoses genital warts by seeing them. The warts might disappear on their own. If not, your health care provider can treat or remove them. HPV stays in your body even after treatment, so warts can come back.</p> <p class="""">Dept. of Health and Human Services Office on Women's Health</p>"
C0009663,PDQ,DXP,CONDYLOMA ACUMINATUM,"A sexually transmitted papillary growth caused by the human papilloma virus. It usually arises in the skin and mucous membranes of the perianal region and external genitalia. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C2960"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C2960"" NCI Thesaurus)"
C0009663,HPO,DXP,CONDYLOMA ACUMINATUM,"Warts affecting the skin in the genital area (peniile shaft, scrotum, vagina, or labia majora). Warts can be small, beginning as a pinhead-size swelling that may become larger and take on a pdenuculated appearance. Warts can spread and coalesce into large masses in the genital or anal area. Their color is variable but tends to be skin colored or darker, and they may occasionally bleed. Warts may cause itching, redness, or discomfort. An outbreak of genital warts may also cause psychological distress. [PMID:28722914]"
C0009663,NCI,DXP,CONDYLOMA ACUMINATUM,A sexually transmitted papillary growth caused by the human papillomavirus. It usually arises in the skin and mucous membranes of the perianal region and external genitalia.
C0009714,NCI,DXP,CONGENITAL HEPATIC FIBROSIS,"A congenital disorder usually inherited in an autosomal recessive pattern. It affects the hepatobiliary system and the kidneys. It is characterized by liver fibrosis, portal hypertension, and renal cysts."
C0009714,HPO,DXP,CONGENITAL HEPATIC FIBROSIS,The presence of fibrosis of that part of the liver with congenital onset. [HPO:probinson]
C0009765,MSH,DXP,"CONJUNCTIVITIS, HEMORRHAGIC, ACUTE","A highly contagious disease characterized by subconjunctival hemorrhage, sudden swelling of the eyelids and congestion, redness, and pain in the eye. Epidemic conjunctivitis caused by Enterovirus 70 (EV-70) was first described in Africa in 1969. It is caused also by Coxsackievirus A24 variant (CA24v). Epidemics by this organism have appeared most frequently in Asia."
C0009765,NCI,DXP,"CONJUNCTIVITIS, HEMORRHAGIC, ACUTE",Acute conjunctivitis that is characterized by bleeding into the conjunctiva.
C0009766,MSH,DXP,"CONJUNCTIVITIS, ALLERGIC",Conjunctivitis due to hypersensitivity to various allergens.
C0009766,HPO,DXP,"CONJUNCTIVITIS, ALLERGIC",Allergic Conjunctivitis is an allergic inflammation of the conjunctiva. [HPO:probinson]
C0009770,MSH,DXP,"CONJUNCTIVITIS, INCLUSION",An infection of the eyes characterized by the presence in conjunctival epithelial cells of inclusion bodies indistinguishable from those of trachoma. It is acquired by infants during birth and by adults from swimming pools. The etiological agent is CHLAMYDIA TRACHOMATIS whose natural habitat appears to be the genito-urinary tract. Inclusion conjunctivitis is a less severe disease than trachoma and usually clears up spontaneously.
C0009770,CSP,DXP,"CONJUNCTIVITIS, INCLUSION",infection of the eyes characterized by the presence in conjunctival epithelial cells of inclusion bodies indistinguishable from those of trachoma; it is acquired by infants during birth and by adults from swimming pools; the etiological agent is Chlamydia trachomatis whose natural habitat appears to be the genito-urinary tract.
C0009773,NCI,DXP,"CONJUNCTIVITIS, VERNAL",Inflammation of the cornea that is seasonal in nature.
C0010032,NCI,DXP,CORNEAL ABRASION,Injury to the epithelium of the cornea.
C0010093,NCI,DXP,"CORPUS LUTEUM, CYST",A benign ovarian cyst that develops when fluid accumulates in a corpus luteum that failed to regress.
C0010232,MSH,DXP,COWPOX,"A mild, eruptive skin disease of milk cows caused by COWPOX VIRUS, with lesions occurring principally on the udder and teats. Human infection may occur while milking an infected animal."
C0010276,MSH,DXP,CRANIOPHARYNGIOMA,"A benign pituitary-region neoplasm that originates from Rathke's pouch. The two major histologic and clinical subtypes are adamantinous (or classical) craniopharyngioma and papillary craniopharyngioma. The adamantinous form presents in children and adolescents as an expanding cystic lesion in the pituitary region. The cystic cavity is filled with a black viscous substance and histologically the tumor is composed of adamantinomatous epithelium and areas of calcification and necrosis. Papillary craniopharyngiomas occur in adults, and histologically feature a squamous epithelium with papillations. (From Joynt, Clinical Neurology, 1998, Ch14, p50)"
C0010276,HPO,DXP,CRANIOPHARYNGIOMA,A benign pituitary-region neoplasm that originates from Rathke's pouch. Craniopharyngiomas are benign slow growing tumours that are located within the sellar and para sellar region of the central nervous system. [PMID:17425791]
C0010276,ORPHANET,DXP,CRANIOPHARYNGIOMA,Craniopharyngiomas are benign slow growing tumours that are located within the sellar and parasellar regions of the central nervous system.
C0010276,NCI,DXP,CRANIOPHARYNGIOMA,"A benign, partly cystic, epithelial tumor of the sellar region, presumably derived from Rathke pouch epithelium. It affects mainly children and young adults. There are two clinicopathological forms: adamantinomatous craniopharyngioma and papillary craniopharyngioma. The most significant factor associated with recurrence is the extent of surgical resection, with lesions greater than 5 cm in diameter carrying a markedly worse prognosis. (Adapted from WHO)"
C0010380,MSH,DXP,"LARYNGOTRACHEOBRONCHITIS, ACUTE","Inflammation involving the GLOTTIS or VOCAL CORDS and the subglottic larynx. Croup is characterized by a barking cough, HOARSENESS, and persistent inspiratory STRIDOR (a high-pitched breathing sound). It occurs chiefly in infants and children."
C0010380,MEDLINEPLUS,DXP,"LARYNGOTRACHEOBRONCHITIS, ACUTE","<p>Croup is an inflammation of the vocal cords (larynx) and windpipe (trachea). It causes difficulty breathing, a barking cough, and a hoarse voice. The cause is usually a virus, often <a href=""https://medlineplus.gov/viralinfections.html"">parainfluenza virus</a>. Other causes include <a href=""https://medlineplus.gov/allergy.html"">allergies</a> and <a href=""https://medlineplus.gov/gerd.html"">reflux</a>.</p> <p>Croup often starts out like a cold. But then the vocal cords and windpipe become swollen, causing the hoarseness and the cough. There may also be a fever and high-pitched noisy sounds when breathing. The symptoms are usually worse at night, and last for about three to five days. Children between the ages of 6 months and 3 years have the highest risk of getting croup. They may also have more severe symptoms. Croup is more common in the fall and winter.</p> <p>Most cases of viral croup are mild and can be treated at home. Rarely, croup can become serious and interfere with your child's breathing. If you are worried about your child's breathing, call your health care provider right away.</p>"
C0010380,NCI,DXP,"LARYNGOTRACHEOBRONCHITIS, ACUTE",Acute upper respiratory airways infection that results in the swelling of the larynx. It is usually caused by parainfluenza viruses. Signs include a characteristic barking cough and stridor.
C0010403,MSH,DXP,CRYOGLOBULINEMIA,"A condition characterized by the presence of abnormal quantities of CRYOGLOBULINS in the blood. Upon cold exposure, these abnormal proteins precipitate into the microvasculature leading to restricted blood flow in the exposed areas."
C0010403,HPO,DXP,CRYOGLOBULINEMIA,"Increased level of cryoglobulins in the blood. Cryoglobulins are abnormal immunoglobulins, especially IGG or IGM, that precipitate spontaneously when serum is cooled below 37 degrees Celsius. [HPO:probinson]"
C0010403,NCI,DXP,CRYOGLOBULINEMIA,"A condition characterized by the presence of cryoglobulins in the blood. Cryoglobulins are abnormal proteins that precipitate within the microvasculature on exposure to cold; microvasculature effects of cryoglobulinemia may result in restricted tissue blood flow, tissue hypoxia, and tissue necrosis. --2004"
C0010414,CSP,DXP,CRYPTOCOCCOSIS,infection with a fungus of the species Cryptococcus neoformans.
C0010414,ORPHANET,DXP,CRYPTOCOCCOSIS,A cosmopolitan fungal infection due to &lt;i&gt;Cryptococcus neoformans&lt;/i&gt;.
C0010414,NCI,DXP,CRYPTOCOCCOSIS,"An acute or chronic, localized or disseminated infection by Cryptococcus neoformans. Sites of involvement include the lungs, central nervous system and meninges, skin, and visceral organs.--2004"
C0010474,MSH,DXP,"ULCER, CURLINGS","Acute stress DUODENAL ULCER, usually observed in patients with extensive third-degree burns."
C0010481,MSH,DXP,CUSHING SYNDROME,"A condition caused by prolonged exposure to excess levels of cortisol (HYDROCORTISONE) or other GLUCOCORTICOIDS from endogenous or exogenous sources. It is characterized by upper body OBESITY; OSTEOPOROSIS; HYPERTENSION; DIABETES MELLITUS; HIRSUTISM; AMENORRHEA; and excess body fluid. Endogenous Cushing syndrome or spontaneous hypercortisolism is divided into two groups, those due to an excess of ADRENOCORTICOTROPIN and those that are ACTH-independent."
C0010481,CSP,DXP,CUSHING SYNDROME,"condition, more commonly seen in females, due to hyperadrenocorticism resulting from neoplasms of the adrenal cortex or the anterior lobe of the pituitary, or to prolonged excessive intake of glucocorticoids for therapeutic purposes; symptoms and signs may include rapidly developing adiposity of the face, neck, and trunk, kyphosis caused by osteoporosis of the spine, hypertension, diabetes mellitus, amenorrhea, hypertrichosis in females, impotence in males, dusky complexion with purple markings, polycythemia, pain in the abdomen and back, and muscular wasting and weakness."
C0010481,NCI,DXP,CUSHING SYNDROME,"A syndrome caused by high levels of cortisol in the blood either due to excessive production and secretion of corticosteroids secondary to pituitary or adrenocortical neoplasms, or intake of glucocorticoid drugs. Signs and symptoms include a round face, upper body obesity, fragile and thin skin, purple stretch marks in the skin, fatigue, muscle weakness, hypertension, diabetes mellitus, hypertrichosis and amenorrhea in women, impotence in men, and osteoporosis."
C0010481,CHV,DXP,CUSHING SYNDROME,a rare hormonal disease that occurs when the body produces too much of the hormone cortisol
C0010481,CHV,DXP,CUSHING SYNDROME,a rare hormonal disease that occurs when the body produces too much of the hormone cortisol
C0010481,MEDLINEPLUS,DXP,CUSHING SYNDROME,"<p>Cushing's syndrome is a hormonal disorder. The cause is long-term exposure to too much cortisol, a hormone that your adrenal gland makes. Sometimes, taking synthetic hormone medicine to treat an inflammatory disease leads to Cushing's. Some kinds of tumors produce a hormone that can cause your body to make too much cortisol.</p> <p>Cushing's syndrome is rare. Some symptoms are:</p><ul> <li>Upper body obesity </li> <li>Thin arms and legs</li> <li>Severe fatigue and muscle weakness</li> <li>High blood pressure</li> <li>High blood sugar</li> <li>Easy bruising</li> </ul> <p>Lab tests can show if you have it and find the cause. Your treatment will depend on why you have too much cortisol. If it is because you have been taking synthetic hormones, a lower dose may control your symptoms. If the cause is a tumor, surgery and other therapies may be needed.</p> <p class="""">NIH: National Institute of Diabetes and Digestive and Kidney Diseases</p>"
C0010481,ORPHANET,DXP,CUSHING SYNDROME,Cushing's syndrome (CS) encompasses a group of hormonal disorders caused by prolonged and high exposure levels to glucocorticoids that can be of either endogenous (adrenal cortex production) or exogenous (iatrogenic) origin.
C0010674,MSH,DXP,CYSTIC FIBROSIS,"An autosomal recessive genetic disease of the EXOCRINE GLANDS. It is caused by mutations in the gene encoding the CYSTIC FIBROSIS TRANSMEMBRANE CONDUCTANCE REGULATOR expressed in several organs including the LUNG, the PANCREAS, the BILIARY SYSTEM, and the SWEAT GLANDS. Cystic fibrosis is characterized by epithelial secretory dysfunction associated with ductal obstruction resulting in AIRWAY OBSTRUCTION; chronic RESPIRATORY INFECTIONS; PANCREATIC INSUFFICIENCY; maldigestion; salt depletion; and HEAT PROSTRATION."
C0010674,CSP,DXP,CYSTIC FIBROSIS,"most common potentially lethal autosomal recessive disease affecting Caucasians; characterized by chronic pulmonary, intestinal, liver, pancreatic, and exocrine gland dysfunction; caused by mutations of the CFTR chloride channel."
C0010674,MEDLINEPLUS,DXP,CYSTIC FIBROSIS,"<p>Cystic fibrosis (CF) is an inherited disease of the mucus and sweat glands. It affects mostly your lungs, pancreas, liver, intestines, sinuses, and sex organs. CF causes your mucus to be thick and sticky. The mucus clogs the lungs, causing breathing problems and making it easy for bacteria to grow. This can lead to repeated lung infections and lung damage. </p> <p>The symptoms and severity of CF can vary. Some people have serious problems from birth. Others have a milder version of the disease that doesn't show up until they are teens or young adults. Sometimes you will have few symptoms, but later you may have more symptoms.</p> <p>CF is diagnosed through various tests, such as gene, blood, and sweat tests. There is no cure for CF, but treatments have improved greatly in recent years. In the past, most deaths from CF were in children and teenagers. Today, with improved treatments, some people who have CF are living into their forties, fifties, or older. Treatments may include chest physical therapy, nutritional and <a href=""https://medlineplus.gov/pulmonaryrehabilitation.html"">respiratory therapies</a>, medicines, and exercise.</p> <p class="""">NIH: National Heart, Lung, and Blood Institute</p>"
C0010674,ORPHANET,DXP,CYSTIC FIBROSIS,"A rare, genetic pulmonary disorder characterized by sweat, thick mucus secretions causing multisystem disease, chronic infections of the lungs, bulky diarrhea and short stature."
C0010674,NCI,DXP,CYSTIC FIBROSIS,"A congenital, autosomal, metabolic disorder affecting the exocrine glands. The secretions of exocrine glands are abnormal, resulting in excessively viscid mucus production that causes obstruction of passageways, including pancreatic and bile ducts, intestines, and bronchi. Symptoms usually appear in childhood, and include meconium ileus, poor growth despite good appetite, malabsorption and foul bulky stools, chronic bronchitis with cough, recurrent pneumonia, bronchiectasis, emphysema, clubbing of the fingers, and salt depletion in hot weather secondary to increased sodium and chloride concentration in sweat."
C0010678,MSH,DXP,CYSTICERCOSIS,"Infection with CYSTICERCUS, the larval form of the various tapeworms of the genus Taenia (usually T. solium in man). In humans they penetrate the intestinal wall and invade subcutaneous tissue, brain, eye, muscle, heart, liver, lung, and peritoneum. Brain involvement results in NEUROCYSTICERCOSIS."
C0010678,ORPHANET,DXP,CYSTICERCOSIS,"Cysticercosis is a parasitic infectious disease characterized by cyst formation in the target tissue of &lt;i&gt;Taenia solium&lt;/i&gt; (tapeworm) parasite larvae ingested via the feces of a human with a tapeworm (human-to-human fecal-oral transmission) leading to variable clinical manifestations in muscle, the brain, spinal cord, and eyes. Infection of muscle tissue is generally asymptomatic. Cyst development in the brain and spinal cord is known as neurocysticercosis (NCC) and may cause seizures and headache. NCC can follow a serious course and may be life-threatening. Severe cases of cysticercosis are treated with albendazole and anti-inflammatory drugs."
C0010678,NCI,DXP,CYSTICERCOSIS,"A parasitic infection caused by the larval form of Taenia solium. It is a disseminated infection affecting the central nervous system, subcutaneous tissues, lungs, heart and liver. The most serious complications result from infection of the brain parenchyma. Patients may develop seizures, hydrocephalus, encephalopathy and meningoencephalitis."
C0010691,MSH,DXP,CYSTINURIA,An inherited disorder due to defective reabsorption of CYSTINE and other BASIC AMINO ACIDS by the PROXIMAL RENAL TUBULES. This form of aminoaciduria is characterized by the abnormally high urinary levels of cystine; LYSINE; ARGININE; and ORNITHINE. Mutations involve the amino acid transport protein gene SLC3A1.
C0010691,CSP,DXP,CYSTINURIA,"inherited abnormality of renal tubular transport of dibasic amino acids leading to massive urinary excretion of cystine, lysine, arginine, and ornithine."
C0010691,NCI,DXP,CYSTINURIA,"An autosomal recessive inherited metabolic disorder caused by mutations in the SLC3A1 and SLC7A9 genes. It is characterized by deficient re-absorption of cystine in the proximal tubules of the kidney. It results in the formation of stones in the kidney, ureter, and urinary bladder."
C0010691,HPO,DXP,CYSTINURIA,An increased concentration of cystine in the urine. [HPO:gcarletti]
C0010691,ORPHANET,DXP,CYSTINURIA,A rare disorder of renal tubular amino acid transport characterized by recurrent formation of kidney cystine stones.
